geneID	string_protein_id	propagate_scores
GATA3	9606.ENSP00000368632	0.0003814194777330392
KIR2DL4	9606.ENSP00000339634	0.00038108619651596603
LILRB2	9606.ENSP00000375629	0.00038089574047110605
CCL27	9606.ENSP00000259631	0.00037994271106708876
BCL2L1	9606.ENSP00000365230	0.0003788332071671913
SLAMF1	9606.ENSP00000438406	0.00037810911073015005
IL11	9606.ENSP00000264563	0.00037791450024928614
CD83	9606.ENSP00000368450	0.0003777410204012011
UBC	9606.ENSP00000441543	0.00037715311126753905
CEACAM1	9606.ENSP00000161559	0.00037707131545330956
CR2	9606.ENSP00000356024	0.0003768332162395088
ARRB2	9606.ENSP00000403701	0.00037671535613800967
MAPK1	9606.ENSP00000215832	0.00037574724734054107
APOE	9606.ENSP00000252486	0.0003751827685121299
CCL25	9606.ENSP00000375086	0.0003739205161785853
CD8B	9606.ENSP00000331172	0.00037356659614757193
MME	9606.ENSP00000418525	0.0003724951454266583
IL17F	9606.ENSP00000337432	0.0003712036668856113
IL23R	9606.ENSP00000321345	0.0003709340949174666
ARG1	9606.ENSP00000349446	0.0003699651084990887
HLA-DMA	9606.ENSP00000363976	0.00036956155939377535
IL12RB2	9606.ENSP00000262345	0.00036952945856061445
HIF1A	9606.ENSP00000437955	0.00036870984861508987
FLT3LG	9606.ENSP00000469613	0.0003661458582225744
IFNAR1	9606.ENSP00000270139	0.00036607730051113835
APP	9606.ENSP00000284981	0.00036504228884024826
CCL13	9606.ENSP00000225844	0.0003622347776263497
NT5E	9606.ENSP00000257770	0.0003618793628162937
KLRF1	9606.ENSP00000483713	0.0003618009075322412
LIF	9606.ENSP00000249075	0.00036067252988543016
CD209	9606.ENSP00000315477	0.000358358591293916
HLA-DOB	9606.ENSP00000496848	0.00035727988169965963
GNAI1	9606.ENSP00000497260	0.0003565528451600561
XCL1	9606.ENSP00000356792	0.00035570783170765666
HLA-DOA	9606.ENSP00000229829	0.00035538820134749504
CD79B	9606.ENSP00000376544	0.0003529939082135209
NECTIN1	9606.ENSP00000264025	0.00035169806993179376
STAT4	9606.ENSP00000351255	0.0003516616667435766
NGF	9606.ENSP00000358525	0.0003513201054841752
HLA-DPB1	9606.ENSP00000408146	0.0003506370943587649
CSF3R	9606.ENSP00000362195	0.00034990626796183976
AOC3	9606.ENSP00000312326	0.00034897148217079093
LEP	9606.ENSP00000312652	0.0003471040169022448
FLT3	9606.ENSP00000241453	0.0003464307184512152
PTK2	9606.ENSP00000341189	0.00034446054018973164
LAT	9606.ENSP00000378845	0.00034441564446458103
KIF2C	9606.ENSP00000361298	0.00034431865667310736
VSIR	9606.ENSP00000378409	0.00034357065771682167
HLA-DRB5	9606.ENSP00000364114	0.00034337864038692207
SOCS3	9606.ENSP00000330341	0.00034301301245435117
CXCL3	9606.ENSP00000296026	0.0003429350619263713
HDAC1	9606.ENSP00000362649	0.00034250555470126875
NFKBIA	9606.ENSP00000216797	0.00034096471317186246
HLA-DMB	9606.ENSP00000398890	0.0003385780271394193
IL10RB	9606.ENSP00000290200	0.0003384653378600487
HCK	9606.ENSP00000365012	0.0003381190446079088
CSF2RB	9606.ENSP00000384053	0.00033682894258714317
ESR1	9606.ENSP00000405330	0.0003368262271388357
SLAMF6	9606.ENSP00000357036	0.00033676337842553203
UBA52	9606.ENSP00000388107	0.0003362628529911307
HSPB3	9606.ENSP00000303394	0.0003341526736150854
IGLV10-54	9606.ENSP00000491969	0.00033373263228815575
NCK1	9606.ENSP00000417273	0.0003333843130491815
IFNA17	9606.ENSP00000411940	0.0003323201894657733
PPBP	9606.ENSP00000296028	0.0003295041588686768
IRF7	9606.ENSP00000380697	0.0003289481169592394
IRF4	9606.ENSP00000370343	0.00032837221179456166
CCL26	9606.ENSP00000378365	0.00032596430266807906
IGF1R	9606.ENSP00000497069	0.00032590253741784475
CCL1	9606.ENSP00000225842	0.0003236105045729676
KIR3DL3	9606.ENSP00000291860	0.00032239143664637617
TNFSF8	9606.ENSP00000223795	0.00032108837893499636
TRAF1	9606.ENSP00000362994	0.000320889739338435
VAV3	9606.ENSP00000359073	0.00031976208043452554
MICB	9606.ENSP00000252229	0.0003175218396458238
CASP8	9606.ENSP00000351273	0.0003170043433522954
NRAS	9606.ENSP00000358548	0.0003169711689427901
CCND1	9606.ENSP00000227507	0.0003168738648223882
H3C13	9606.ENSP00000333277	0.00031529299440213545
SOCS1	9606.ENSP00000496577	0.00031493110886536584
ARRB1	9606.ENSP00000409581	0.0003144144298914239
TRAF5	9606.ENSP00000261464	0.0003129809967722884
IRF1	9606.ENSP00000245414	0.0003121159818275697
MPO	9606.ENSP00000225275	0.0003111969294307423
H3C12	9606.ENSP00000352252	0.00031029756755575057
IL27RA	9606.ENSP00000263379	0.0003097991323188101
CXCL16	9606.ENSP00000293778	0.0003080866731962321
TNFRSF1B	9606.ENSP00000365435	0.0003080773165707089
ULBP1	9606.ENSP00000229708	0.00030771994165711933
CD1E	9606.ENSP00000357149	0.0003076529249603572
ANPEP	9606.ENSP00000300060	0.00030739743296366275
CCL7	9606.ENSP00000367832	0.00030727760455678967
IRF8	9606.ENSP00000268638	0.00030657877550987616
CD1A	9606.ENSP00000289429	0.0003059952439605409
MAPK8	9606.ENSP00000378974	0.0003058697330588821
IL6ST	9606.ENSP00000370698	0.0003056115194707798
CALM3	9606.ENSP00000291295	0.00030503023924368245
PLK1	9606.ENSP00000300093	0.00030502379649496316
EPOR	9606.ENSP00000222139	0.000304674276818179
HGF	9606.ENSP00000222390	0.00030370276538504174
TMIGD2	9606.ENSP00000301272	0.0003035282362447543
IL21	9606.ENSP00000497915	0.00030310928449037925
XCR1	9606.ENSP00000310405	0.00030274584992065105
CHUK	9606.ENSP00000359424	0.0003023893634454678
CXCL6	9606.ENSP00000226317	0.00030158101716417225
SELP	9606.ENSP00000263686	0.0003012326567148552
VWF	9606.ENSP00000261405	0.0003010130454542945
CASP1	9606.ENSP00000433138	0.00030097132978595286
ITGB3	9606.ENSP00000452786	0.0003001623635741529
CD81	9606.ENSP00000263645	0.00029963073743596895
IKBKG	9606.ENSP00000483825	0.00029789899841899326
IKBKB	9606.ENSP00000430684	0.00029721111359550943
CALR	9606.ENSP00000320866	0.00029684230210424436
TLR8	9606.ENSP00000312082	0.0002958599727929122
OSM	9606.ENSP00000215781	0.000295580226639787
DDX58	9606.ENSP00000369213	0.0002940003827594114
SMAD3	9606.ENSP00000332973	0.0002924424361994361
CD9	9606.ENSP00000371958	0.0002912438107178177
IRF3	9606.ENSP00000471896	0.00029116934758740615
IRS1	9606.ENSP00000304895	0.000290979730094178
KIR3DL2	9606.ENSP00000325525	0.0002899247855919944
ACE2	9606.ENSP00000389326	0.0002894119637975093
MTOR	9606.ENSP00000354558	0.00028895146962539783
FUT4	9606.ENSP00000351602	0.0002880136199391797
IFNAR2	9606.ENSP00000343957	0.0002876703109445377
TNFRSF13C	9606.ENSP00000291232	0.00028751242595400635
CCL8	9606.ENSP00000378118	0.0002874557825445692
PPARG	9606.ENSP00000287820	0.0002864948519359295
IL33	9606.ENSP00000370842	0.00028598354699136276
ITGA2B	9606.ENSP00000262407	0.00028565206110679883
THBD	9606.ENSP00000366307	0.0002840979967375759
H4C6	9606.ENSP00000244537	0.0002831609077679179
SOS1	9606.ENSP00000384675	0.0002823775301158736
BRCA1	9606.ENSP00000418960	0.00028108772908991286
H3-3B	9606.ENSP00000254810	0.0002810679951003737
