,iter,drug,tissue,max_moment,sparsity,weighting,geneset,model,max_scale,edge_weights,acc,bal_acc,roc_auc
231,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
232,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,2,raw,0.625,0.4166666666666667,-1
233,4,Ipi,ALL,4,sparse,weighted,LINCS,LR,2,raw,0.75,0.5,-1
234,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,2,raw,0.625,0.4166666666666667,-1
235,4,Ipi,ALL,4,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
236,4,Ipi,ALL,5,sparse,weighted,LINCS,SVC,2,raw,0.625,0.4166666666666667,-1
237,4,Ipi,ALL,5,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
238,4,Ipi,ALL,5,sparse,weighted,LINCS,SVC,2,raw,0.5,0.5,-1
239,4,Ipi,ALL,5,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
240,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,3,raw,0.625,0.4166666666666667,-1
241,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
242,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,3,raw,0.625,0.4166666666666667,-1
243,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
244,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,3,raw,0.75,0.5,-1
245,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,3,raw,0.75,0.5,-1
246,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,3,raw,0.75,0.5,-1
247,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
248,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,3,raw,0.75,0.5,-1
249,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
250,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,3,raw,0.625,0.4166666666666667,-1
251,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
252,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,3,raw,0.625,0.4166666666666667,-1
253,4,Ipi,ALL,4,sparse,weighted,LINCS,LR,3,raw,0.75,0.5,-1
254,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,3,raw,0.625,0.4166666666666667,-1
255,4,Ipi,ALL,4,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
256,4,Ipi,ALL,5,sparse,weighted,LINCS,SVC,3,raw,0.625,0.4166666666666667,-1
257,4,Ipi,ALL,5,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
258,4,Ipi,ALL,5,sparse,weighted,LINCS,SVC,3,raw,0.625,0.75,-1
259,4,Ipi,ALL,5,sparse,weighted,LINCS,LR,3,raw,0.625,0.4166666666666667,-1
260,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,4,raw,0.75,0.5,-1
261,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,4,raw,0.75,0.5,-1
262,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,4,raw,0.75,0.5,-1
263,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,4,raw,0.75,0.5,-1
264,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,4,raw,0.625,0.4166666666666667,-1
265,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,4,raw,0.75,0.5,-1
266,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,4,raw,0.625,0.4166666666666667,-1
267,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,4,raw,0.75,0.5,-1
268,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,4,raw,0.625,0.4166666666666667,-1
269,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,4,raw,0.625,0.4166666666666667,-1
270,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,4,raw,0.625,0.4166666666666667,-1
271,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,4,raw,0.625,0.4166666666666667,-1
272,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,4,raw,0.5,0.3333333333333333,-1
